model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	frontend/main	frontend_inference_request	2026-05-03T22:29:52.554Z	2026-05-03T22:29:53.237Z	35.061	0.683	frontend log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	restore_pod_to_container	2026-05-03T22:29:15.000Z	2026-05-03T22:29:17.000Z	-2.493	2.000	k8s pod watch	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	restore_complete_to_sentinel	2026-05-03T22:29:44.989Z	2026-05-03T22:29:45.001Z	27.496	0.012	restore-worker log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	worker_wake_up	2026-05-03T22:29:45.001Z	2026-05-03T22:29:45.453Z	27.508	0.452	restore-worker log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	worker_after_wake_to_discovery	2026-05-03T22:29:45.453Z	2026-05-03T22:29:45.488Z	27.960	0.035	restore-worker log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	worker_register_model	2026-05-03T22:29:45.524Z	2026-05-03T22:29:45.802Z	28.031	0.278	restore-worker log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	worker/main	worker_endpoint_to_metadata_snapshot	2026-05-03T22:29:45.802Z	2026-05-03T22:29:47.176Z	28.309	1.374	restore-worker log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	agent_detect_to_restore_start	2026-05-03T22:29:17.493Z	2026-05-03T22:29:17.524Z	0.000	0.031	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	host_inspect	2026-05-03T22:29:17.524Z	2026-05-03T22:29:17.533Z	0.031	0.010	snapshot-agent Restore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	agent_nsrestore_launch	2026-05-03T22:29:17.533Z	2026-05-03T22:29:17.554Z	0.041	0.020	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	nsrestore_setup	2026-05-03T22:29:17.554Z	2026-05-03T22:29:17.566Z	0.061	0.012	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	criu_restore	2026-05-03T22:29:17.566Z	2026-05-03T22:29:41.949Z	0.073	24.383	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	cuda_restore	2026-05-03T22:29:41.949Z	2026-05-03T22:29:44.988Z	24.457	3.039	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	snapshot-agent	agent_external_complete	2026-05-03T22:29:44.989Z	2026-05-03T22:29:44.992Z	27.496	0.003	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0503222711	kube/discovery	worker_pod_ready_condition	2026-05-03T22:29:45.453Z	2026-05-03T22:29:46.000Z	27.960	0.547	k8s pod watch	overlaps worker registration; Kubernetes Ready boundary
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	frontend/main	frontend_pod_to_container	2026-05-03T22:57:04.000Z	2026-05-03T22:57:06.000Z	-1.623	2.000	k8s pod watch	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	frontend/main	frontend_start_to_discovery	2026-05-03T22:57:06.000Z	2026-05-03T22:57:07.421Z	0.377	1.421	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	frontend/main	frontend_discovery_to_metadata_snapshot	2026-05-03T22:57:07.421Z	2026-05-03T22:57:57.379Z	1.798	49.958	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	frontend/main	frontend_ready_to_first_request	2026-05-03T22:57:18.000Z	2026-05-03T22:58:02.717Z	12.377	44.717	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	frontend/main	frontend_inference_request	2026-05-03T22:58:02.717Z	2026-05-03T22:58:03.526Z	57.094	0.809	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	restore_pod_to_container	2026-05-03T22:57:04.000Z	2026-05-03T22:57:05.000Z	-1.623	1.000	k8s pod watch	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	restore_complete_to_sentinel	2026-05-03T22:57:54.879Z	2026-05-03T22:57:54.882Z	49.256	0.003	restore-worker log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	worker_wake_up	2026-05-03T22:57:54.882Z	2026-05-03T22:57:55.573Z	49.259	0.691	restore-worker log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	worker_after_wake_to_discovery	2026-05-03T22:57:55.573Z	2026-05-03T22:57:55.610Z	49.950	0.037	restore-worker log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	worker_register_model	2026-05-03T22:57:55.645Z	2026-05-03T22:57:55.969Z	50.022	0.324	restore-worker log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	worker/main	worker_endpoint_to_metadata_snapshot	2026-05-03T22:57:55.969Z	2026-05-03T22:57:57.378Z	50.346	1.409	restore-worker log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	agent_detect_to_restore_start	2026-05-03T22:57:05.623Z	2026-05-03T22:57:05.647Z	0.000	0.024	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	host_inspect	2026-05-03T22:57:05.647Z	2026-05-03T22:57:05.659Z	0.024	0.013	snapshot-agent Restore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	agent_nsrestore_launch	2026-05-03T22:57:05.659Z	2026-05-03T22:57:05.681Z	0.037	0.022	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	nsrestore_setup	2026-05-03T22:57:05.681Z	2026-05-03T22:57:05.693Z	0.059	0.012	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	criu_restore	2026-05-03T22:57:05.693Z	2026-05-03T22:57:50.078Z	0.071	44.385	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	cuda_restore	2026-05-03T22:57:50.078Z	2026-05-03T22:57:54.878Z	44.456	4.800	snapshot-agent nsrestore timing summary	
