package_name,version,type,spdx_license
gpgsm,2.4.4-2ubuntu17.4,dpkg,BSD-3-Clause AND CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-or-later AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-RFC-Reference AND LicenseRef-TinySCHEME AND LicenseRef-permissive
gpgv,2.4.4-2ubuntu17.4,dpkg,BSD-3-Clause AND CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-or-later AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-RFC-Reference AND LicenseRef-TinySCHEME AND LicenseRef-permissive
grep,3.11-4build1,dpkg,GPL-3.0-only AND GPL-3.0-or-later
gzip,1.12-1ubuntu3.1,dpkg,LicenseRef-FSF-manpages AND LicenseRef-GFDL-1.3--no-invariant AND LicenseRef-GFDL-3 AND GPL-3.0-only AND GPL-3.0-or-later
hostname,3.23+nmu2ubuntu2,dpkg,GPL-2.0-only
ibverbs-providers,50.0-2ubuntu0.2,dpkg,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSD-MIT AND LicenseRef-CC0 AND CPL-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND MIT
idle-python3.12,3.12.3-1ubuntu0.12,dpkg,LicenseRef-By AND GPL-2.0-only AND LicenseRef-Permission AND LicenseRef-Redistribution AND LicenseRef-This
infiniband-diags,50.0-2ubuntu0.2,dpkg,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSD-MIT AND LicenseRef-CC0 AND CPL-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND MIT
init-system-helpers,1.66ubuntu1,dpkg,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later
iso-codes,4.16.0-1,dpkg,LGPL-2.1-only AND LGPL-2.1-or-later
keyboxd,2.4.4-2ubuntu17.4,dpkg,BSD-3-Clause AND CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-or-later AND GPL-2.0-only AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND LicenseRef-RFC-Reference AND LicenseRef-TinySCHEME AND LicenseRef-permissive
libabsl20220623t64,20220623.1-3.1ubuntu3.2,dpkg,Apache-2.0
libacl1,2.3.2-1build1.1,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-only
libamd-comgr2,6.0+git20231212.4510c28+dfsg-3build2,dpkg,LicenseRef-Expat AND NCSA
libamdhip64-5,5.7.1-3,dpkg,Apache-2.0 AND Apache-2.0 AND BSD-2-Clause AND LicenseRef-Expat AND LicenseRef-Khronos
libapparmor1,4.0.1really4.0.1-0ubuntu0.24.04.5,dpkg,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later
libappstream5,1.0.2-1build6,dpkg,FSFAP AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-SIL-1.1
libapt-pkg6.0t64,2.8.3,dpkg,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later
libargon2-1,0~20190702+dfsg-4build1,dpkg,Apache-2.0 AND LicenseRef-CC0
libasan8,14.2.0-4ubuntu2~24.04,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
libassuan0,2.5.6-1build1,dpkg,LicenseRef-GAP AND LicenseRef-GAP-FSF AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later
libatomic1,14.2.0-4ubuntu2~24.04,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
libattr1,1:2.5.2-1build1.1,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-only
libaudit-common,1:3.1.2-2.1build1.1,dpkg,GPL-1.0-only AND GPL-2.0-only AND LGPL-2.1-only
libaudit1,1:3.1.2-2.1build1.1,dpkg,GPL-1.0-only AND GPL-2.0-only AND LGPL-2.1-only
libbinutils,2.42-4ubuntu2.5,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
libblkid1,2.39.3-9ubuntu6.5,dpkg,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain
libboost-filesystem1.83.0,1.83.0-2.1ubuntu3.2,dpkg,Apache-2.0 AND LicenseRef-BSD2 AND LicenseRef-BSD3-DEShaw AND LicenseRef-BSD3-Google AND BSL-1.0 AND LicenseRef-Caramel AND LicenseRef-CrystalClear AND LicenseRef-HP AND Jam AND LicenseRef-Kempf AND MIT AND LicenseRef-NIST AND LicenseRef-OldBoost1 AND LicenseRef-OldBoost2 AND LicenseRef-OldBoost3 AND LicenseRef-Python AND LicenseRef-SGI AND LicenseRef-Spencer AND Zlib
libboost-system1.83.0,1.83.0-2.1ubuntu3.2,dpkg,Apache-2.0 AND LicenseRef-BSD2 AND LicenseRef-BSD3-DEShaw AND LicenseRef-BSD3-Google AND BSL-1.0 AND LicenseRef-Caramel AND LicenseRef-CrystalClear AND LicenseRef-HP AND Jam AND LicenseRef-Kempf AND MIT AND LicenseRef-NIST AND LicenseRef-OldBoost1 AND LicenseRef-OldBoost2 AND LicenseRef-OldBoost3 AND LicenseRef-Python AND LicenseRef-SGI AND LicenseRef-Spencer AND Zlib
libboost-thread1.83.0,1.83.0-2.1ubuntu3.2,dpkg,Apache-2.0 AND LicenseRef-BSD2 AND LicenseRef-BSD3-DEShaw AND LicenseRef-BSD3-Google AND BSL-1.0 AND LicenseRef-Caramel AND LicenseRef-CrystalClear AND LicenseRef-HP AND Jam AND LicenseRef-Kempf AND MIT AND LicenseRef-NIST AND LicenseRef-OldBoost1 AND LicenseRef-OldBoost2 AND LicenseRef-OldBoost3 AND LicenseRef-Python AND LicenseRef-SGI AND LicenseRef-Spencer AND Zlib
libbrotli1,1.1.0-2build2,dpkg,MIT
libbsd0,0.12.1-1build1.1,dpkg,BSD-2-Clause AND BSD-2-Clause AND LicenseRef-BSD-2-clause-author AND LicenseRef-BSD-2-clause-verbatim AND BSD-3-Clause AND LicenseRef-BSD-3-clause-John-Birrell AND LicenseRef-BSD-3-clause-Regents AND LicenseRef-BSD-3-clause-author AND LicenseRef-BSD-5-clause-Peter-Wemm AND Beerware AND LicenseRef-Expat AND ISC AND LicenseRef-ISC-Original AND LicenseRef-public-domain
libbz2-1.0,1.0.8-5.1build0.1,dpkg,LicenseRef-BSD-variant AND GPL-2.0-only
libc-bin,2.39-0ubuntu8.7,dpkg,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only
libc-dev-bin,2.39-0ubuntu8.7,dpkg,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only
libc6,2.39-0ubuntu8.7,dpkg,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only
