frontend_count,arm,request_throughput_rps_median,output_token_throughput_tps_median,isl_tokens_avg_median,osl_tokens_avg_median,ttft_ms_p50_median,ttft_ms_p95_median,itl_ms_p50_median,itl_ms_p95_median,request_latency_ms_p50_median,request_latency_ms_p95_median,successful_runs
1,inprocess_immediate,256.01506224216325,268719.1534173189,1024.0012817382812,1049.612060546875,1879.710831,2076.83985645,0.4048186725403282,0.6899473887467107,2288.693673,2577.29628415,3
1,valkey_ha,253.61139568374546,266191.3660745887,1024.0012817382812,1049.6138916015625,1892.957947,2058.15045065,0.4035096761741002,0.5299780022595255,2305.7829225,2567.730676,3
10,inprocess_immediate,253.29041690004715,265856.7691569565,1024.0012817382812,1049.6124267578125,1895.5762145,2135.84734305,0.407311900984703,0.6481767016263733,2316.963655,2674.1258454,3
10,valkey_ha,253.29086329511284,265846.261349098,1024.0012817382812,1049.631591796875,1888.148903,2120.3852973,0.4024363145952042,0.5424698435160364,2301.158789,2624.84630755,3
100,inprocess_immediate,231.81422412956766,243310.36464060648,1024.0012817382812,1049.6116333007812,2122.1408445,4674.4995963,0.46734796453861926,1.1921160594210636,2616.876634,5414.6797838,3
100,valkey_ha,246.47616206818518,258711.13705776312,1024.0012817382812,1049.6395874023438,1955.2430025,4359.94446705,0.4169205193433377,0.5778190077985278,2395.6027335,4823.80313095,3
