model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T17:51:22.153Z	2026-05-06T17:51:22.871Z	0.019	0.718	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T17:51:22.871Z	2026-05-06T17:51:24.693Z	0.737	1.822	gms-loader log	151 allocations
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/gms-loader	gms_load_metadata_commit	2026-05-06T17:51:24.693Z	2026-05-06T17:51:24.716Z	2.559	0.023	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/gms-loader	gms_load_sentinel	2026-05-06T17:51:24.719Z	2026-05-06T17:51:24.726Z	2.585	0.007	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/main	main_pod_to_container	2026-05-06T17:51:13.000Z	2026-05-06T17:51:19.000Z	-9.134	6.000	restore pod yaml	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T17:51:22.134Z	2026-05-06T17:51:22.191Z	0.000	0.057	snapshot-agent	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/main	main_gms_remap	2026-05-06T17:51:25.889Z	2026-05-06T17:51:25.926Z	3.755	0.037	worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/main	registration_to_generate_endpoint	2026-05-06T17:51:25.947Z	2026-05-06T17:51:26.263Z	3.813	0.316	worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T17:51:26.263Z	2026-05-06T17:51:27.306Z	4.129	1.043	worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-06T17:51:26.000Z	2026-05-06T17:51:27.306Z	3.866	1.306	pod yaml + worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-defapi-preload2-q3-8b-0506174928	frontend/main	first_inference	2026-05-06T17:51:43.991Z	2026-05-06T17:51:44.576Z	21.857	0.585	frontend log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	snapshot-agent	criu_restore	2026-05-06T17:56:07.336Z	2026-05-06T17:56:10.674Z	0.070	3.338	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	snapshot-agent	cuda_restore	2026-05-06T17:56:10.674Z	2026-05-06T17:56:11.208Z	3.408	0.534	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T17:56:01.000Z	2026-05-06T17:56:02.000Z	-6.267	1.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T17:56:01.000Z	2026-05-06T17:56:04.000Z	-6.267	3.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T17:56:06.177Z	2026-05-06T17:56:07.370Z	-1.090	1.193	benchmark harness	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T17:56:07.281Z	2026-05-06T17:56:07.295Z	0.014	0.014	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T17:56:07.295Z	2026-05-06T17:56:08.018Z	0.028	0.723	gms-loader log	
