repetition,request_id,ttft_ms,request_latency_ms,itl_ms,server_input_tokens,server_output_tokens
1,f17c03f0-d2a1-4eb2-b7aa-e879f9af222d,14166.517043,21521.508566,28.843104011764705,4108,256
1,0d106ada-5fbd-4370-8392-82f91219ca1a,14166.218033,21521.165526999997,28.842931349019608,4108,256
1,12db1d77-500b-4f1b-98e1-aa9bc9eeea81,14166.479773,21521.439666,28.84297997254902,4108,256
1,ff0d8b43-f08a-4e42-95c0-322c9c345a1a,14166.384634,21522.088444999998,28.845897298039215,4108,256
1,4b7c4953-34f1-4b54-a244-10019dc25854,6850.7335379999995,13953.078492999999,27.852333156862745,4108,256
1,fe222a40-c3d5-4eaf-9bf8-bcd47601f0f2,6849.247982,13951.624037,27.852455117647057,4108,256
1,3e21eb16-000f-4662-af6c-d8f950b61b92,12662.680041,19933.385199,28.512569247058824,4108,256
1,7f18d4fc-1a13-4b71-8a6d-348da1bd25e4,12660.781615,19932.092672,28.514945321568625,4108,256
1,5ebc5c0e-e660-41e4-b748-e19b93b251b7,3357.4643859999996,10563.657771999999,28.25958190588235,4108,256
1,0d21cf7a-f6a1-4739-88c4-5fc4ccf1223f,5947.8733059999995,13030.178849,27.77374722745098,4108,256
1,a536cfd0-b78f-4480-8ae8-364b2e4c64fa,7079.3361589999995,14233.452553,28.055358407843137,4108,256
1,a129fd45-f3ee-4664-acd9-283d178a77b3,10202.935642,17538.538297,28.767069235294116,4108,256
1,9b62eb1b-8ecd-4b4e-af91-8b8c60fd3c27,8434.888488999999,15843.055553999999,29.051635549019608,4108,256
1,edd3f22b-1138-41d7-a1b7-46f50886ce79,5966.049768999999,13374.299464,29.05195958823529,4108,256
1,5df64913-5322-4f2f-81f4-ddcdad8590b3,3983.2756379999996,11143.070606,28.077627325490194,4108,256
1,6b53555c-7252-43b7-b23f-2cfc61b53539,8210.486491,15544.429586999999,28.760561160784313,4108,256
1,9766c2c0-1719-46c1-9287-d18903a8c1b1,11101.849865999999,18436.837,28.76465542745098,4108,256
1,dd8b1ebf-7e01-4234-8c7d-e0999e4ccfcc,11270.671989,18693.612994,29.10957256862745,4108,256
1,ceac1fc5-b4ec-41f2-8b3a-fb4f7b72bef0,6319.7668029999995,13742.796428,29.109920098039215,4108,256
1,a077abc0-a54c-462a-92d1-275cba44d4dc,14540.371062999999,21935.506803,29.00053231372549,4108,256
1,d70742be-e129-4d94-87ad-803ac9d90b3b,11391.185436,18785.481798,28.997240635294116,4108,256
1,e861076e-1095-4217-9f73-327158cf0d7a,11391.231756,18786.309866,29.00030631372549,4108,256
1,10f62026-64a7-4a3e-be38-9b897ccf6852,14537.926588999999,21933.08712,29.000629533333335,4108,256
1,3047d2fa-9d97-49be-b591-90803775fa3f,14222.622451,21583.049962999998,28.864421615686275,4108,256
1,21549e66-348b-4431-8be0-7b678a260861,14222.547891,21583.361042,28.865933925490197,4108,256
1,230a1a6d-fa5b-42d7-a9e7-f2464c389e91,14223.936978,21585.089039,28.867262984313726,4108,256
1,78b48565-591d-4782-9823-4cef2ac90b16,14223.937608,21585.177497999997,28.867607411764705,4108,256
1,6af2b5d7-767b-4ec8-a49b-f26c918a0dde,14361.38847,21680.89389,28.70394282352941,4108,256
1,2df4eaa3-af11-4e84-8d67-16fea3703d48,14502.387021999999,21850.905461,28.81771936862745,4108,256
1,5aebdbb1-bdaf-4148-b445-af1af40ad15e,14502.172961999999,21851.11814,28.81939285490196,4108,256
1,5cfe3d1c-ffe2-4d7a-bea9-9f40a8bac7e5,14504.223856999999,21853.269385,28.819786384313723,4108,256
1,15886be1-843f-4536-ae70-fd6a08f576a5,13359.133503,20688.987574,28.744525768627447,4108,256
1,496e2a64-8f03-4c04-9ef3-95c0fa1e0188,13187.470737,20517.199758,28.74403537647059,4108,256
1,0bb03109-3b1f-446a-b978-32f6ba9a45fd,13187.531246999999,20518.461875,28.748747560784313,4108,256
1,a40b172d-3add-4a86-b03b-f765a772f880,13186.302059,20516.046610999998,28.744096282352942,4108,256
1,b85bdf68-5d35-43c3-90ec-ac77e0e788c1,12171.138165,19491.575156,28.707596043137254,4108,256
1,2e596d9b-2c6b-42f9-ac89-0144b8bb075a,12172.180871999999,19493.168492,28.70975537254902,4108,256
1,c825d02b-d8fa-40d0-ac7b-fd6a15f56c81,12173.391798999999,19494.994917,28.712169090196074,4108,256
1,28e35e53-c10d-442b-920c-cf890e2150fb,12174.008267,19495.187237,28.71050576470588,4108,256
1,7f0ee1db-3fff-4535-be78-7e31f26fa191,13420.0026,20798.484524,28.93522323137255,4108,256
1,12e30ff0-0c1a-449c-8857-e4dbd2755a11,13420.214139,20798.907462,28.93605224705882,4108,256
1,d71a68d1-9776-4a26-aeeb-88a196f5c53e,13420.371347999999,20798.434014,28.93357908235294,4108,256
1,63d94fe8-bbe4-4089-ab2a-f68fcde932f6,13419.77328,20798.564903,28.936437737254902,4108,256
1,5ca4831e-40f7-4063-a0dc-42d43da3d430,14223.459495,21599.588940999998,28.925997827450978,4108,256
1,44690dff-0471-4ec9-a00a-4cdc3ab6b0e3,14224.828340999999,21601.046797,28.92634688627451,4108,256
1,fcb580df-f351-4344-a9d7-85a8f5884220,14224.766182,21600.872208,28.925905984313726,4108,256
1,d4c13d30-7df4-4c0a-810e-a9e25d8983ce,14223.752814,21600.654188,28.92902499607843,4108,256
1,e68fa117-223b-47a9-9abb-a94a77fe9c13,14343.661031,21712.622660999998,28.897888745098037,4108,256
1,91686539-b22c-4b53-ba55-d5210e320877,14344.776447999999,21713.572309,28.897238670588234,4108,256
1,c490460a-c13e-4e29-8529-b4749e7dc3ca,14345.686165,21714.583296,28.897635807843137,4108,256
1,5cacc788-3d45-47d8-a5c7-3548da29de68,14344.648828,21713.535989,28.89759670980392,4108,256
1,1ac310b1-b425-468a-a2ac-2ad5409de331,15093.707547,22453.594196,28.862300584313722,4108,256
1,e1ed309f-76cf-4692-8014-26cbca05fc96,15092.479899999998,22452.700438,28.863609952941175,4108,256
1,c0f8f82b-734d-4b2b-90ea-a25bfa24f492,15092.340409999999,22451.81527,28.860685725490196,4108,256
1,1fbbb18c-d644-4360-a453-83cb826fa041,15090.143885,22449.770744999998,28.861281803921568,4108,256
1,77720f99-b3fb-4939-a3c2-63719ca1a3d7,14313.173691,21683.694240999997,28.904002156862745,4108,256
1,9af6b9a0-6a21-4a4f-9e4d-3f17062cc5db,14313.136961,21683.620060999998,28.903855294117648,4108,256
1,fe102afa-c407-462c-97a5-7503877e1a27,14313.230521,21685.285996,28.910021470588237,4108,256
1,9b977ff2-9dfe-4a01-92bc-301dc378b5c2,14313.53507,21685.442166,28.90943959215686,4108,256
1,4fb2ed96-5d1f-49e3-891a-c8f56e3bbb1a,14494.690154,21852.219972,28.85305810980392,4108,256
1,12d5ea64-2d2d-4894-8ea6-81291bde3c16,14499.809612,21857.39211,28.853264698039215,4108,256
1,59401211-88ef-4da4-a983-74d2ab256885,14494.427904999999,21852.315032,28.854459321568626,4108,256
1,a398c9ad-1c6f-4605-a161-123f9cc95034,14497.349848,21854.588837,28.851917603921567,4108,256
1,1d59e2bb-a822-484d-8362-f1312c1329e6,3891.1283329999997,10790.664083,27.05700294117647,4108,256
2,7c6a38ba-7772-4897-9e9f-d3d65fb2921c,13381.353565,20709.570616999998,28.738106086274506,4108,256
2,6f6844b9-8977-44ac-9fcf-ee17fe10b401,13381.267775999999,20709.763358,28.739198360784314,4108,256
2,43d5697a-bdc4-4c95-8a0e-17af519a8856,13381.154316,20710.013796,28.740625411764707,4108,256
2,7643e026-1915-4751-8e2a-a99beb593cfd,13380.836287,20708.830379,28.73723173333333,4108,256
2,b48f26d0-e04d-447e-82cd-c2a35e424585,13605.217305,20940.683305,28.76653333333333,4108,256
2,cf700fe2-5d99-483f-ae3f-708edab0844c,13608.058487999999,20943.869887999997,28.767887843137252,4108,256
2,e6c49c2b-aaeb-48bf-9ac0-a57344b2d43a,13608.151437999999,20943.2078,28.764926909803922,4108,256
2,40438631-86b8-4de5-9040-17a670e9b2ea,13604.972845,20940.817564999998,28.76801850980392,4108,256
2,6b27cc9c-924c-4b8e-a06e-0df0a23b83df,13437.390664999999,20792.318634,28.842854780392155,4108,256
2,27e44315-e78f-4b7f-b6fa-ca6d8def4835,13439.498409,20794.344237999998,28.8425326627451,4108,256
2,8f9a85cc-5fec-4c69-afe6-0ace89529720,13437.211145,20792.080774,28.84262599607843,4108,256
2,a5e80540-18ba-49c8-928c-9d3bb8f5cc18,13439.5239,20794.550778,28.84324265882353,4108,256
2,6c53edfc-3d01-40b4-a1c9-7e4e9b6a1a20,14211.045270999999,21566.969944,28.84676342352941,4108,256
2,2abee228-8a47-4be2-a5d2-1ab3e29e1dbc,14211.185399999998,21567.000784,28.846334839215682,4108,256
2,0207de1e-a156-446a-b435-989569470cbe,14211.25014,21568.50321,28.851972823529408,4108,256
2,d5d97d4d-7290-49b5-9a1e-efc51fc49756,14211.090461,21567.104074,28.847112207843136,4108,256
2,d74767df-1b4f-4835-a97e-e5eecb929a91,13944.256265999999,21305.276273,28.866745125490194,4108,256
2,46aa978c-8dc6-4320-aa8c-1d9128cf5702,13943.567528,21303.900066,28.86404916862745,4108,256
2,dadd50f8-1efc-408b-b6ec-35f06ed4fe72,13942.888429999999,21303.583767,28.865471909803922,4108,256
2,e8ba9551-b26e-4a0a-92bb-cecc1b81648f,13944.313345999999,21305.462272999997,28.867250694117644,4108,256
2,16cf36fe-90a4-4e7f-acc6-416b5395de13,14450.850224,21816.180126,28.883646674509805,4108,256
2,a03e16e0-a672-4188-bf24-c2f3c4ef112a,14450.410794,21814.61446,28.879230062745098,4108,256
2,e693ac4f-e7cc-4059-b7a9-3c2140fce0b5,14448.865318,21814.224811,28.883762717647055,4108,256
2,cbbfcbc0-3cba-4cfb-b143-3f9dc3f9b5f8,14450.604714,21815.566467,28.882202952941174,4108,256
2,a72f75a1-282f-4d5b-bf56-2683d24dd293,14921.149139,22270.250498999998,28.82000533333333,4108,256
2,2c2c0085-8dcb-4af9-9454-4457cb4626d0,15065.081871999999,22439.454089,28.919106733333333,4108,256
2,ede44fae-3cdc-4b74-8f25-8bf5f932d950,15065.023012,22439.537439,28.919664419607845,4108,256
2,12787079-21e7-4f77-93fe-734952a69c0c,15065.259511999999,22439.927578,28.920266925490196,4108,256
2,a1719fa6-9c2c-4325-9a9e-2722a5b28a82,15223.144643,22589.149507,28.886293584313723,4108,256
2,07782f9b-7859-4701-91a9-988017447fb7,15056.469307,22422.717671,28.88724848627451,4108,256
2,4889b309-e5e3-4705-9679-43e320c73021,15056.729836999999,22422.476470999998,28.88528091764706,4108,256
2,2bc7b1ec-aae3-4eca-8de4-5e44f3701729,15057.082335,22423.118779,28.88641742745098,4108,256
2,25428119-dfe2-4a5c-84b4-aa7a21db3a60,14090.286627,21444.720256999997,28.840916196078428,4108,256
2,96b7d1f7-f46d-49c0-af89-7d394bd57bd3,14090.118847,21444.671777,28.841384039215686,4108,256
2,516a1e1f-0fae-4ef6-97b1-f4e6621f6cab,14089.873517999999,21443.937819,28.839467847058824,4108,256
2,89b89d5e-8898-4b4c-bddd-6a6e8407121a,14089.497868999999,21444.334747999997,28.84249756470588,4108,256
2,03dec1e7-7838-49b1-a81c-ac08ed8898ea,13822.880244,21182.937416999997,28.862969305882352,4108,256
2,f8b69f3e-c873-4c1e-8336-e7de42b8a965,13824.924879999999,21184.004315,28.859135039215687,4108,256
2,aa4716c8-e41a-414f-b7b5-3d858e50893f,13822.936083999999,21182.057369,28.859299156862747,4108,256
2,dd194d41-cc5c-4742-94fe-b80822551bcf,13824.89827,21183.795065,28.858418803921566,4108,256
2,83125390-05a7-4e48-9c16-bca923c48f74,12709.744412,20080.419213999998,28.904607066666664,4108,256
2,406a3e60-bd01-4c20-abe9-081a15dd63d5,12709.995261,20080.932113,28.905634713725487,4108,256
2,ec5885b6-60cb-49a9-8c3c-1eb3e20e4bd7,12710.616039999999,20081.564972,28.905682086274506,4108,256
2,bde4fc1b-6463-4da6-b658-253c710599a4,12709.742521999999,20080.622244,28.905410674509803,4108,256
2,db81338f-dd72-45a6-9138-ed720a350882,13778.990280999999,21137.317912,28.856186788235295,4108,256
2,752b851f-5f25-42d3-b682-35315f53f810,13778.133763,21136.363864,28.855804317647056,4108,256
2,2a6d71fb-616b-4a8a-9ff9-d9d92a9ad4c2,13778.855781999999,21137.404941999997,28.857055529411763,4108,256
2,ce8cdab8-06ef-4b11-80f4-e321573671db,13779.238921,21137.688221,28.85666392156863,4108,256
2,5a95c5b0-8149-472f-88f5-12cf633b31ab,14338.813124999999,21701.368862,28.872767596078432,4108,256
2,585f8523-3720-4ea1-b16f-1d4c052c6562,14338.581556,21702.138179999998,28.876692643137254,4108,256
2,4a54a42e-9937-48a1-9952-052bd67a9004,14338.762724999999,21701.835779999998,28.874796294117647,4108,256
2,04c728ac-7930-4fe8-a8a5-a49eed0fd01c,14338.628455999999,21701.917941,28.875645039215687,4108,256
2,dc6d8448-40aa-4449-8810-44fb07189737,13356.348038999999,20720.532449,28.879154549019606,4108,256
2,958b60e7-e153-4d1b-b6b7-b0bae9cb3613,13356.266539999999,20719.596521,28.875803847058823,4108,256
2,97db236c-bc0f-49c1-bc00-47d33b86d32e,13351.734921,20715.345010999998,28.876902313725488,4108,256
2,40e9f23d-d1ed-4011-8150-2a2dea24975c,13351.728661,20715.349310999998,28.876943725490197,4108,256
2,5702aba5-46af-4743-9f6e-1cec29caac67,14293.828435,21683.575977,28.979402125490196,4108,256
2,29debb6e-be9b-4602-a644-735662218245,14293.716165,21683.978536,28.981421062745095,4108,256
2,25c5bb72-4667-43d5-bc74-2f0367031e96,14294.578582999999,21684.863794,28.981510631372547,4108,256
2,d958ebff-61bb-43c3-bf0d-6f1636a5b6c9,14293.524685999999,21684.604154999997,28.98462536862745,4108,256
2,0a8f18b6-1db5-4b5b-a9c8-d0d020138c9b,14608.475846,21969.251398,28.86578647843137,4108,256
2,c6438e97-87ea-4f23-b44d-dea903fa2536,14610.98862,21971.762152,28.865778556862743,4108,256
2,eaca4ab1-7eb1-4dfb-9a0c-ba248234d4bb,14608.178006999999,21968.967879,28.865842635294115,4108,256
2,2c4f6dcb-961c-494d-8c1f-4dccbcde7e22,14610.88041,21971.657661999998,28.865793145098035,4108,256
3,b62b41e0-641e-4877-9705-8fa2a71c0eba,14593.399191999999,21904.379549999998,28.670511207843134,4108,256
3,d01e4c05-cf2e-48ec-9160-3dd05d2096fb,14593.613680999999,21904.4235,28.66984242745098,4108,256
3,ede2f5de-f30e-4c92-85eb-1a81c53c48d1,14593.620250999998,21906.166276,28.67665107843137,4108,256
3,4dc9e04e-bb45-4732-9a15-ccd3536f04f0,14593.458960999998,21904.29456,28.669943525490194,4108,256
3,74ae5aa0-6f8b-4e0e-be8c-c4cbc805a882,14646.986452,21980.521301999997,28.75896019607843,4108,256
3,db6226af-62d7-499a-9e15-0b647b665970,14644.816396999999,21979.297663999998,28.762671635294115,4108,256
3,9192e28e-2b0e-45df-bf70-a558a6bff3a7,14645.560275,21979.263064,28.759618780392152,4108,256
3,46c93150-3f3f-45c6-8c70-84c147350264,14646.423163,21981.242458999997,28.763997239215687,4108,256
3,65e1e6c0-1fc4-4d98-a795-fe387889d062,13905.916498999999,21241.42036,28.766681807843135,4108,256
3,65790f47-1c74-4168-a4c5-2cdcc1428bf1,13906.017698,21241.650949,28.767189219607843,4108,256
3,82d539ef-655a-4479-87ea-be4809fe3c7a,13905.923379,21241.44166,28.766738356862746,4108,256
3,d4ff4fbc-b9f6-469a-a083-d31712c49621,13906.888356,21242.330517,28.766439847058823,4108,256
3,a0f87cab-fcd7-4713-9b8c-dc5bd5148c72,13158.84096,20509.470290999998,28.825997376470585,4108,256
3,6e12b679-c61e-4683-98de-5e59e1a3b234,13158.90992,20509.95633,28.827632980392156,4108,256
3,a1bc7bd7-6aef-4577-a1fd-186557656f46,13159.10933,20509.284172,28.824215066666664,4108,256
3,7c12f488-6ab1-475e-8d0b-84a0d9e85697,13159.288499,20509.027972,28.822507737254902,4108,256
3,846ee955-4f77-4fb9-9983-41a951e0e19a,12887.927647999999,20255.735973,28.893365980392158,4108,256
3,c3972d0d-c436-49f0-a721-74fada71f5f0,12887.839428,20256.262742,28.89577770196078,4108,256
3,154a99fb-7a1e-47ee-95cb-ef6e5a5c0def,12887.05407,20254.289646999998,28.891119909803923,4108,256
3,df841527-db28-4e4d-91fd-dceedfa17907,12887.00845,20255.521074,28.8961279372549,4108,256
3,14db22e4-9c99-4bdb-a1aa-6c90327429f7,12899.457445,20262.606304999998,28.87509356862745,4108,256
3,613c819d-07ff-4b90-9b89-48fdf35031e7,12896.167233,20259.610242,28.876247094117648,4108,256
3,b63030e3-19bd-457f-aa8e-2de2daa41a3c,12898.442986999999,20261.651888,28.87532902352941,4108,256
3,92481271-d5bb-4d5c-810a-98e285429aa3,12897.961478,20261.760077,28.877641564705883,4108,256
3,d3388d10-f02d-4ba9-b173-a6ec92f1c903,14202.033414,21567.955352999998,28.88596838823529,4108,256
3,14c2eb79-65b1-4fba-aee5-7b7c7abf2284,14202.185072999999,21568.063652999997,28.885798352941176,4108,256
3,beb7c2a6-e493-4f7e-be64-c3c4862d95fe,14201.765274,21567.479294,28.88515301960784,4108,256
3,c37fe0bf-3fe3-4811-a233-f9d4c1a6e05b,14202.147603,21568.049173,28.88588850980392,4108,256
3,9eec5a9a-c2b3-488b-ad61-5d6a7a09fa29,14033.34752,21393.507029,28.86337062352941,4108,256
3,cec7d33a-1d76-4688-877e-a8ea5167cb60,14034.780346,21394.899504999998,28.863212388235294,4108,256
3,51dba1d6-d9da-45a2-8b9b-98cf0f09eec0,14032.984069999999,21393.363669,28.864233721568628,4108,256
3,0991ed96-b40e-46be-bf5e-d122ea9a4d35,14031.564773999999,21391.768213,28.863542898039213,4108,256
3,a4d69aee-b710-42b2-b5f6-15649665e424,14905.571828999999,22268.448447,28.874025952941174,4108,256
3,5bc0840a-b8b8-43e6-a037-694d9ff4549e,14904.785451,22268.492177,28.87728127843137,4108,256
3,9d645682-ccbe-4cc1-be9f-54dae900d066,14905.022289999999,22267.908337999997,28.87406293333333,4108,256
3,dd1e06b2-3ea6-4582-80cc-b2d400e48645,14905.109908999999,22268.443275999998,28.875817125490194,4108,256
3,d7ecfe89-be08-4fc8-af81-3182062609ae,14555.711009999999,21913.386786,28.853630494117645,4108,256
3,2d6a556a-f1d5-4683-b60d-10c7e7804a2a,14553.470075,21911.070821999998,28.853336262745096,4108,256
3,2d3bb492-7fc9-4afe-b6d6-b21ea1c864ef,14556.248217999999,21912.899737,28.8496138,4108,256
3,3e62e3a7-3b2d-4b17-8754-126d8bfcba46,14556.608505999999,21913.669065,28.85121787843137,4108,256
3,8a5282f1-d242-4f01-8fe0-8af91749b5a5,15270.426453999999,22633.163872999998,28.873480074509803,4108,256
3,7e5b2d24-25e1-4a56-9cf5-6e3a3ff71bd8,15270.864302999998,22633.531443,28.873204470588234,4108,256
3,08202986-82fa-41cd-a527-28def53ddccc,15270.824842999999,22631.683017,28.866110486274508,4108,256
3,d886fc64-17c2-4bc8-87ef-6998165781f1,15270.740732999999,22631.723836999998,28.866600407843137,4108,256
