source,concurrency,workers,tp_size,total_gpus,g1_blocks,g2_blocks,tps_gpu,tps_cluster,tps_user,tpot_ms,ttft_ms,e2e_ms,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
baseline,8,1,4,4,16384,0,27.9147163004327,111.6588652017308,27.353260630390828,65.79851621789373,914.1218705917871,13047.785340348779,0.6130592277956156,0.520136179701197,23608,81567.35974999999
baseline,16,1,4,4,16384,0,31.3951674573804,125.5806698295216,16.850589396250566,119.44042698784415,986.0082991472359,23199.69345597175,0.689496425856111,0.5201715004710454,23608,71590.722209
baseline,32,1,4,4,16384,0,35.316805202702646,141.26722081081058,10.380256483756495,217.92614205687065,1134.3752021922458,41239.60959805232,0.775622904161181,0.5200226486552553,23608,74949.509625
baseline,64,1,4,4,16384,0,38.684891011948075,154.7395640477923,5.753695189842035,399.8012904698907,1514.5074352269114,75272.67287965343,0.8495923496372707,0.5211882340602559,23608,69298.471209
g2,8,1,4,4,16384,32768,27.9147163004327,111.6588652017308,27.35326063038908,65.798516217894,914.1218705917828,13047.785340348699,0.6130592277956156,0.520136179701197,23608,81456.627375
g2,16,1,4,4,16384,32768,31.3951674573804,125.5806698295216,16.85058939625273,119.44042698784365,986.0082991472365,23199.693455971847,0.689496425856111,0.5201715004710454,23608,71557.430083
g2,32,1,4,4,16384,32768,35.316805202702646,141.26722081081058,10.38025648375583,217.92614205687048,1134.3752021922448,41239.6095980523,0.775622904161181,0.5200226486552553,23608,74840.496375
g2,64,1,4,4,16384,32768,38.684891011948075,154.7395640477923,5.753695189841706,399.8012904698922,1514.507435226905,75272.67287965307,0.8495923496372707,0.5211882340602559,23608,69406.953417
