source,concurrency,tps_gpu,tps_user,tpot_ms,ttft_ms
baseline,8,99.945334551221,75.95294649419036,17.151090624117902,273.0671852723574
baseline,16,132.77169636962748,57.37605335224556,25.25631260904094,364.30219970168815
baseline,32,160.04213710886324,34.58257188058835,42.077245203230184,627.9355759021162
baseline,64,182.69901358493917,15.796863950425662,72.4055162300113,2092.6984355136597
g2,8,102.42346979835989,78.077998996202,17.26652545777357,249.80520561592795
g2,16,135.9493195249041,60.708020990013885,26.231266554397617,319.41590381817304
g2,32,165.8442285544242,39.37454657899067,44.843610363020886,506.5611932208916
g2,64,187.32147473515167,22.522821661994914,88.52670701910654,1979.4068719140146
