model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/gms-loader	gms_load_wait_for_rw	2026-05-03T17:36:11.714Z	2026-05-03T17:36:12.013Z	0.027	0.299	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-03T17:36:12.013Z	2026-05-03T17:36:12.106Z	0.326	0.093	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-03T17:36:12.106Z	2026-05-03T17:36:12.762Z	0.419	0.656	gms-loader log	151 allocations
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/gms-loader	gms_load_metadata_commit	2026-05-03T17:36:12.762Z	2026-05-03T17:36:12.784Z	1.075	0.022	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/gms-loader	gms_load_sentinel	2026-05-03T17:36:12.789Z	2026-05-03T17:36:12.793Z	1.102	0.004	gms-loader log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/main	main_pod_to_container	2026-05-03T17:36:08.000Z	2026-05-03T17:36:09.000Z	-3.687	1.000	restore pod yaml	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	snapshot-agent	restore_agent_to_nsrestore	2026-05-03T17:36:11.687Z	2026-05-03T17:36:11.823Z	0.000	0.137	snapshot-agent	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/main	main_gms_remap	2026-05-03T17:36:14.669Z	2026-05-03T17:36:14.757Z	2.982	0.088	worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/main	registration_to_generate_endpoint	2026-05-03T17:36:14.773Z	2026-05-03T17:36:16.946Z	3.086	2.173	worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-03T17:36:16.946Z	2026-05-03T17:36:18.358Z	5.259	1.412	worker main log	
