model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	agent_nsrestore_launch	2026-04-30T08:56:53.171Z	2026-04-30T08:56:53.194Z	0.044	0.023	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	nsrestore_setup	2026-04-30T08:56:53.194Z	2026-04-30T08:56:53.206Z	0.067	0.013	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	criu_restore	2026-04-30T08:56:53.206Z	2026-04-30T08:56:57.940Z	0.080	4.733	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	cuda_restore	2026-04-30T08:56:57.940Z	2026-04-30T08:57:00.734Z	4.813	2.795	snapshot-agent nsrestore timing summary	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	snapshot-agent	agent_external_complete	2026-04-30T08:57:00.735Z	2026-04-30T08:57:00.738Z	7.608	0.003	snapshot-agent log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	restore_complete_to_sentinel	2026-04-30T08:57:00.735Z	2026-04-30T08:57:00.740Z	7.608	0.005	worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	worker_wake_up	2026-04-30T08:57:00.740Z	2026-04-30T08:57:01.190Z	7.613	0.450	worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	worker_after_wake_to_discovery	2026-04-30T08:57:01.190Z	2026-04-30T08:57:01.206Z	8.063	0.016	worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	worker_register_model	2026-04-30T08:57:01.241Z	2026-04-30T08:57:01.606Z	8.114	0.365	worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T08:57:01.606Z	2026-04-30T08:57:01.738Z	8.479	0.132	worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T08:57:01.000Z	2026-04-30T08:57:01.738Z	7.873	0.738	pod yaml + worker main log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_pod_to_container	2026-04-30T08:56:51.000Z	2026-04-30T08:56:54.000Z	-2.127	3.000	frontend pod yaml	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_start_to_discovery	2026-04-30T08:56:54.000Z	2026-04-30T08:56:54.734Z	0.873	0.734	frontend log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T08:56:54.734Z	2026-04-30T08:57:01.741Z	1.607	7.007	frontend log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_metadata_to_ready	2026-04-30T08:57:01.741Z	2026-04-30T08:57:06.000Z	8.614	4.259	frontend log + pod yaml	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_ready_to_first_request	2026-04-30T08:57:06.000Z	2026-04-30T08:57:17.099Z	12.873	11.099	frontend log	
qwen3-8b	Qwen/Qwen3-8B	dckpt-qwen3-8b-0430085445	frontend/main	frontend_inference_request	2026-04-30T08:57:17.099Z	2026-04-30T08:57:17.776Z	23.972	0.677	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	restore_pod_to_container	2026-04-30T09:01:26.000Z	2026-04-30T09:01:27.000Z	-1.841	1.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	agent_detect_to_restore_start	2026-04-30T09:01:27.841Z	2026-04-30T09:01:27.871Z	0.000	0.030	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	host_inspect	2026-04-30T09:01:27.871Z	2026-04-30T09:01:27.884Z	0.030	0.014	snapshot-agent Restore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	agent_nsrestore_launch	2026-04-30T09:01:27.884Z	2026-04-30T09:01:27.903Z	0.044	0.019	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	nsrestore_setup	2026-04-30T09:01:27.903Z	2026-04-30T09:01:27.916Z	0.062	0.013	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	criu_restore	2026-04-30T09:01:27.916Z	2026-04-30T09:01:34.749Z	0.075	6.834	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	cuda_restore	2026-04-30T09:01:34.749Z	2026-04-30T09:01:39.894Z	6.909	5.145	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	snapshot-agent	agent_external_complete	2026-04-30T09:01:39.895Z	2026-04-30T09:01:39.897Z	12.054	0.002	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	restore_complete_to_sentinel	2026-04-30T09:01:39.895Z	2026-04-30T09:01:39.904Z	12.054	0.009	worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	worker_wake_up	2026-04-30T09:01:39.904Z	2026-04-30T09:01:40.626Z	12.063	0.722	worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	worker_after_wake_to_discovery	2026-04-30T09:01:40.626Z	2026-04-30T09:01:40.642Z	12.785	0.016	worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	worker_register_model	2026-04-30T09:01:40.677Z	2026-04-30T09:01:41.092Z	12.836	0.415	worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T09:01:41.092Z	2026-04-30T09:01:42.590Z	13.251	1.498	worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	worker/main	worker_pod_ready_condition	2026-04-30T09:01:40.626Z	2026-04-30T09:01:42.000Z	12.785	1.374	worker main log + pod yaml	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T09:01:42.000Z	2026-04-30T09:01:42.590Z	14.159	0.590	pod yaml + worker main log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	frontend/main	frontend_pod_to_container	2026-04-30T09:01:26.000Z	2026-04-30T09:01:29.000Z	-1.841	3.000	frontend pod yaml	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	frontend/main	frontend_start_to_discovery	2026-04-30T09:01:29.000Z	2026-04-30T09:01:29.808Z	1.159	0.808	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T09:01:29.808Z	2026-04-30T09:01:42.589Z	1.967	12.781	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	frontend/main	frontend_ready_to_first_request	2026-04-30T09:01:40.000Z	2026-04-30T09:01:52.780Z	12.159	12.780	frontend log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0430085848	frontend/main	frontend_inference_request	2026-04-30T09:01:52.780Z	2026-04-30T09:01:53.560Z	24.939	0.780	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	restore_pod_to_container	2026-04-30T09:07:05.000Z	2026-04-30T09:07:06.000Z	-1.728	1.000	restore pod yaml	
